
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
4.81341302e-01, 5.39550304e-01, 4.99999989e-03, -4.48997021e-02, -1.87599212e-01, 9.03172195e-02
4.71242577e-01, 5.39218307e-01, 4.99999989e-03, -4.42608036e-02, -1.83617890e-01, 9.88740325e-02
5.01385391e-01, 5.40017426e-01, 4.99999989e-03, -4.59664874e-02, -1.95368797e-01, 7.20994920e-02
4.91341650e-01, 5.39785087e-01, 4.99999989e-03, -4.54684943e-02, -1.91512853e-01, 8.14006925e-02
5.11294961e-01, 5.40220559e-01, 4.99999989e-03, -4.63932939e-02, -1.99153960e-01, 6.24253787e-02
5.21172881e-01, 5.40427327e-01, 4.99999989e-03, -4.67407629e-02, -2.02857286e-01, 5.23789339e-02
5.39532244e-01, 4.81413007e-01, 4.99999989e-03, -3.12861465e-02, -2.24693477e-01, 1.26861744e-02
5.39793015e-01, 4.91434246e-01, 4.99999989e-03, -3.38183045e-02, -2.23873302e-01, 1.55206770e-02
5.39255023e-01, 4.71244216e-01, 4.99999989e-03, -2.88210753e-02, -2.24888146e-01, 9.98353306e-03
5.31105220e-01, 5.40614843e-01, 4.99999989e-03, -4.70127836e-02, -2.06463918e-01, 4.19720300e-02
5.40650547e-01, 5.31080365e-01, 4.99999989e-03, -4.44643423e-02, -2.14061290e-01, 2.79701874e-02
5.40466607e-01, 5.21329165e-01, 4.99999989e-03, -4.17532921e-02, -2.17508957e-01, 2.47240700e-02
5.40248573e-01, 5.11391461e-01, 4.99999989e-03, -3.90526578e-02, -2.20292449e-01, 2.15530824e-02
5.40030599e-01, 5.01396894e-01, 4.99999989e-03, -3.64086591e-02, -2.22411245e-01, 1.84801277e-02
5.28790951e-01, 4.60793406e-01, 4.99999989e-03, -2.65632477e-02, -2.21602112e-01, 1.70962363e-02
5.18747628e-01, 4.60506946e-01, 4.99999989e-03, -2.66151354e-02, -2.18525499e-01, 2.64124889e-02
4.98623669e-01, 4.60024118e-01, 4.99999989e-03, -2.65533384e-02, -2.11827114e-01, 4.40073013e-02
5.08665919e-01, 4.60247278e-01, 4.99999989e-03, -2.66101584e-02, -2.15261847e-01, 3.53826806e-02
4.88704801e-01, 4.59817320e-01, 4.99999989e-03, -2.64448281e-02, -2.08243042e-01, 5.22669703e-02
4.78826791e-01, 4.59598809e-01, 4.99999989e-03, -2.62876321e-02, -2.04517424e-01, 6.01709485e-02
4.68894780e-01, 4.59385186e-01, 4.99999989e-03, -2.60811765e-02, -2.00663820e-01, 6.77171946e-02
4.59341645e-01, 4.68923837e-01, 4.99999989e-03, -2.78234221e-02, -1.96341068e-01, 7.87788332e-02
4.59552646e-01, 4.78706032e-01, 4.99999989e-03, -2.98861451e-02, -1.95508897e-01, 8.27412754e-02
4.59796011e-01, 4.88639385e-01, 4.99999989e-03, -3.20263021e-02, -1.94187582e-01, 8.67623612e-02
4.60007161e-01, 4.98648375e-01, 4.99999989e-03, -3.42363082e-02, -1.92350596e-01, 9.08335298e-02
4.60985452e-01, 5.38924634e-01, 4.99999989e-03, -4.35670502e-02, -1.79562181e-01, 1.07078925e-01
5.39018035e-01, 4.61098075e-01, 4.99999989e-03, -2.64421590e-02, -2.24473685e-01, 7.43034715e-03
5.40869832e-01, 5.40908694e-01, 4.99999989e-03, -4.72078696e-02, -2.09948152e-01, 3.12484764e-02
4.59130019e-01, 4.59095687e-01, 4.99999989e-03, -2.58299876e-02, -1.96706563e-01, 7.48831853e-02
