
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ]
3.05559188e-01, 7.15028644e-02, 5.99999970e-04
3.06277007e-01, 7.16349632e-02, 5.99999970e-04
3.07119042e-01, 6.97616711e-02, 5.99999970e-04
3.07650983e-01, 7.03239143e-02, 5.99999970e-04
2.34390080e-01, 4.96339165e-02, 5.99999970e-04
2.34551281e-01, 4.88553122e-02, 5.99999970e-04
2.35460460e-01, 4.88627329e-02, 5.99999970e-04
2.35332206e-01, 4.96837310e-02, 5.99999970e-04
2.36374050e-01, 4.88454029e-02, 5.99999970e-04
2.36308172e-01, 4.96144742e-02, 5.99999970e-04
2.36256987e-01, 5.04023321e-02, 5.99999970e-04
2.35513732e-01, 5.04681394e-02, 5.99999970e-04
2.21600950e-01, 4.96396236e-02, 5.99999970e-04
2.21761405e-01, 4.88630123e-02, 5.99999970e-04
2.22679719e-01, 4.88777235e-02, 5.99999970e-04
2.22568184e-01, 4.97054942e-02, 5.99999970e-04
2.23596945e-01, 4.88572605e-02, 5.99999970e-04
2.23587453e-01, 4.96294312e-02, 5.99999970e-04
2.22828999e-01, 5.05082309e-02, 5.99999970e-04
2.23579988e-01, 5.03978394e-02, 5.99999970e-04
2.17069164e-01, 4.97637838e-02, 5.99999970e-04
2.16127083e-01, 4.96698767e-02, 5.99999970e-04
2.16298908e-01, 4.88852412e-02, 5.99999970e-04
2.17226103e-01, 4.89028171e-02, 5.99999970e-04
2.18061879e-01, 4.96534258e-02, 5.99999970e-04
2.18121871e-01, 4.88785654e-02, 5.99999970e-04
2.18031079e-01, 5.04283905e-02, 5.99999970e-04
2.17264742e-01, 5.05612269e-02, 5.99999970e-04
2.75606930e-01, 4.75246385e-02, 5.99999970e-04
2.75961787e-01, 4.66246866e-02, 5.99999970e-04
2.76379883e-01, 4.74602506e-02, 5.99999970e-04
2.74818778e-01, 4.75619361e-02, 5.99999970e-04
2.74079025e-01, 4.75410782e-02, 5.99999970e-04
2.75479287e-01, 4.18158695e-02, 5.99999970e-04
2.75789082e-01, 4.26394492e-02, 5.99999970e-04
2.74600506e-01, 4.25934270e-02, 5.99999970e-04
2.74440557e-01, 4.18820679e-02, 5.99999970e-04
2.76017606e-01, 4.39753048e-02, 5.99999970e-04
2.75328159e-01, 4.35835794e-02, 5.99999970e-04
2.76541620e-01, 4.34159264e-02, 5.99999970e-04
2.74633467e-01, 4.33700271e-02, 5.99999970e-04
2.73248881e-01, 4.19487171e-02, 5.99999970e-04
2.72249490e-01, 4.19181623e-02, 5.99999970e-04
2.72096932e-01, 4.13933806e-02, 5.99999970e-04
2.73222774e-01, 4.12462205e-02, 5.99999970e-04
2.72197068e-01, 4.06510904e-02, 5.99999970e-04
2.73197055e-01, 4.05357108e-02, 5.99999970e-04
2.84849346e-01, 2.73584723e-02, 5.99999970e-04
2.49159820e-02, 5.04984185e-02, 5.99999970e-04
2.51134317e-02, 5.10349944e-02, 5.99999970e-04
2.44539324e-02, 5.18902652e-02, 5.99999970e-04
2.37294063e-02, 5.19267768e-02, 5.99999970e-04
2.86450237e-01, 2.46864967e-02, 5.99999970e-04
2.86066771e-01, 2.40989253e-02, 5.99999970e-04
2.86247849e-01, 2.34769043e-02, 5.99999970e-04
2.87004799e-01, 2.41847318e-02, 5.99999970e-04
2.85486251e-01, 2.40195058e-02, 5.99999970e-04
2.85476297e-01, 2.32071374e-02, 5.99999970e-04
2.85745203e-01, 2.47836597e-02, 5.99999970e-04
2.87134171e-01, 2.32589468e-02, 5.99999970e-04
2.86452651e-01, 2.27310415e-02, 5.99999970e-04
2.87753940e-01, 2.43228897e-02, 5.99999970e-04
2.87628174e-01, 2.36566383e-02, 5.99999970e-04
2.16742568e-02, 5.98699450e-02, 5.99999970e-04
2.15734467e-02, 6.07787929e-02, 5.99999970e-04
2.08163206e-02, 6.07508048e-02, 5.99999970e-04
2.08272766e-02, 5.99385425e-02, 5.99999970e-04
2.15475131e-02, 5.90470769e-02, 5.99999970e-04
2.07853653e-02, 5.91476150e-02, 5.99999970e-04
2.24064607e-02, 6.02159873e-02, 5.99999970e-04
2.22688057e-02, 6.08431213e-02, 5.99999970e-04
3.22020710e-01, 7.90497512e-02, 5.99999970e-04
3.21231812e-01, 7.85131529e-02, 5.99999970e-04
3.22002172e-01, 7.81471580e-02, 5.99999970e-04
3.22465479e-01, 7.87839741e-02, 5.99999970e-04
3.21191758e-01, 7.91981742e-02, 5.99999970e-04
3.21736127e-01, 7.93411508e-02, 5.99999970e-04
3.26665431e-01, 8.12009275e-02, 5.99999970e-04
3.26226890e-01, 8.05609748e-02, 5.99999970e-04
3.26388627e-01, 8.20693821e-02, 5.99999970e-04
3.27049822e-01, 8.18720013e-02, 5.99999970e-04
2.91460395e-01, 1.99060943e-02, 5.99999970e-04
2.91670918e-01, 1.87775288e-02, 5.99999970e-04
2.92223245e-01, 1.95990894e-02, 5.99999970e-04
2.90650457e-01, 2.02576295e-02, 5.99999970e-04
5.11311889e-02, 3.43534946e-02, 5.99999970e-04
5.11717647e-02, 3.50346863e-02, 5.99999970e-04
