
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.85190612e-01, 2.19521746e-02, 5.99999970e-04, 1.93175182e+01, 3.72158140e-02, 2.59712152e-03
2.86834687e-01, 2.23606247e-02, 5.99999970e-04, 1.94516468e+01, 3.72761264e-02, -1.50737842e-03
2.85067976e-01, 2.09470615e-02, 5.99999970e-04, 1.92811108e+01, 3.13119963e-02, 1.70039327e-03
2.86252677e-01, 2.10221559e-02, 5.99999970e-04, 1.93819447e+01, 3.04450095e-02, -1.26531709e-03
2.87942559e-01, 2.19049621e-02, 5.99999970e-04, 1.95458698e+01, 3.41339633e-02, -6.03500614e-03
2.87350357e-01, 2.09185034e-02, 5.99999970e-04, 1.94815884e+01, 2.90944055e-02, -4.47346037e-03
5.01339808e-02, 2.85973437e-02, 5.99999970e-04, -1.86312542e+01, 1.14002582e-02, 1.20616689e-01
5.11014983e-02, 2.85471864e-02, 5.99999970e-04, -1.43517704e+01, 9.05001909e-03, 1.41594440e-01
5.08707725e-02, 2.92323716e-02, 5.99999970e-04, -1.56427155e+01, -9.40153655e-03, 1.38273135e-01
5.00374734e-02, 2.94461176e-02, 5.99999970e-04, -1.89426041e+01, -1.54181737e-02, 1.20658241e-01
5.01966588e-02, 2.77166236e-02, 5.99999970e-04, -1.73309174e+01, 3.86876017e-02, 1.20112248e-01
5.12610003e-02, 2.76951715e-02, 5.99999970e-04, -1.25508289e+01, 3.41472328e-02, 1.41248822e-01
4.99457456e-02, 6.94271028e-02, 5.99999970e-04, 3.24338226e+01, 4.30571623e-02, -1.48281246e-01
4.87602837e-02, 6.93628266e-02, 5.99999970e-04, 3.25257339e+01, 3.47926021e-02, -1.51625410e-01
4.86528613e-02, 6.83327168e-02, 5.99999970e-04, 3.35810127e+01, 3.12756784e-02, -1.44464612e-01
4.95630391e-02, 6.82047755e-02, 5.99999970e-04, 3.37618599e+01, 3.83115709e-02, -1.39839694e-01
5.06690294e-02, 6.85721859e-02, 5.99999970e-04, 3.30321579e+01, 4.78279330e-02, -1.40877366e-01
5.04266806e-02, 6.76710755e-02, 5.99999970e-04, 3.40361824e+01, 4.49387059e-02, -1.34027496e-01
3.38997096e-01, 8.69520083e-02, 5.99999970e-04, 1.26664629e+01, 1.57445461e-01, 3.41892131e-02
3.39328647e-01, 8.76932442e-02, 5.99999970e-04, 1.22775478e+01, 1.62699759e-01, 3.26136537e-02
3.38682085e-01, 8.86189193e-02, 5.99999970e-04, 1.27341995e+01, 1.66218311e-01, 2.96541005e-02
3.38254541e-01, 8.75271037e-02, 5.99999970e-04, 1.31387014e+01, 1.58726662e-01, 3.19587998e-02
3.37626308e-01, 8.88935402e-02, 5.99999970e-04, 1.34571362e+01, 1.65152565e-01, 2.81591974e-02
3.37405771e-01, 8.78713802e-02, 5.99999970e-04, 1.36609478e+01, 1.58823594e-01, 3.03375833e-02
5.69947399e-02, 5.71465790e-02, 5.99999970e-04, 1.93501930e+01, 0.00000000e+00, 0.00000000e+00
5.76716028e-02, 5.64145558e-02, 5.99999970e-04, 1.73674049e+01, 0.00000000e+00, 0.00000000e+00
5.82486391e-02, 5.68825714e-02, 5.99999970e-04, 1.89515152e+01, 1.41660303e-01, -1.44915879e-01
5.74858338e-02, 5.80982380e-02, 5.99999970e-04, 2.12041512e+01, 1.47976786e-01, -1.32393435e-01
5.84375076e-02, 5.82677796e-02, 5.99999970e-04, 2.20876904e+01, 1.38119310e-01, -1.45306036e-01
5.87389544e-02, 5.74002154e-02, 5.99999970e-04, 2.08198223e+01, 1.37511328e-01, -1.56605437e-01
2.84138381e-01, 5.61648048e-02, 5.99999970e-04, 2.14724483e+01, 8.56365785e-02, 1.11071154e-01
2.84654617e-01, 5.70691377e-02, 5.99999970e-04, 2.15127659e+01, 8.12766552e-02, 1.14029393e-01
2.83558577e-01, 5.74560687e-02, 5.99999970e-04, 2.10585423e+01, 8.32813978e-02, 1.14884302e-01
2.83140123e-01, 5.63968532e-02, 5.99999970e-04, 2.10803242e+01, 8.82868841e-02, 1.11188732e-01
2.85385460e-01, 5.78997731e-02, 5.99999970e-04, 2.15821800e+01, 7.68167749e-02, 1.16567761e-01
2.84574419e-01, 5.82918227e-02, 5.99999970e-04, 2.12534924e+01, 7.78924674e-02, 1.17608532e-01
2.85681695e-01, 5.67836016e-02, 5.99999970e-04, 2.18418827e+01, 7.90183768e-02, 1.13006935e-01
2.86254913e-01, 5.76994345e-02, 5.99999970e-04, 2.18731003e+01, 7.50205368e-02, 1.15384310e-01
2.85159230e-01, 5.59075736e-02, 5.99999970e-04, 2.18265247e+01, 8.30192566e-02, 1.10293657e-01
2.81059295e-01, 3.10797337e-02, 5.99999970e-04, 2.01075535e+01, 7.82502666e-02, 1.10424357e-02
2.80651480e-01, 3.03697698e-02, 5.99999970e-04, 1.99144859e+01, 7.55668357e-02, 1.02052838e-02
2.81846404e-01, 2.99154967e-02, 5.99999970e-04, 2.00136414e+01, 7.35033974e-02, 1.08162435e-02
2.82509774e-01, 3.08090579e-02, 5.99999970e-04, 2.02732887e+01, 7.62152299e-02, 1.15797566e-02
2.83688068e-01, 3.03677805e-02, 5.99999970e-04, 2.03280048e+01, 7.39568397e-02, 1.16029419e-02
2.82957524e-01, 2.95488704e-02, 5.99999970e-04, 2.00966415e+01, 7.21192583e-02, 1.12120705e-02
2.80900866e-01, 2.89226696e-02, 5.99999970e-04, 1.97653236e+01, 7.06622377e-02, 9.84903984e-03
2.82463372e-01, 2.87170466e-02, 5.99999970e-04, 1.98974781e+01, 6.98009431e-02, 1.08652292e-02
2.80337960e-01, 2.97914706e-02, 5.99999970e-04, 1.97871685e+01, 7.33946934e-02, 9.38032847e-03
2.81080514e-01, 3.18257771e-02, 5.99999970e-04, 2.02691154e+01, 8.15410540e-02, 1.23013593e-02
2.80206442e-01, 3.22735570e-02, 5.99999970e-04, 2.01506519e+01, 8.48242491e-02, 1.24448426e-02
2.79801518e-01, 3.14969830e-02, 5.99999970e-04, 1.99733582e+01, 8.12394023e-02, 1.08286832e-02
2.79591292e-01, 3.07052769e-02, 5.99999970e-04, 1.98044491e+01, 7.78515190e-02, 9.62445978e-03
2.75076091e-01, 4.42746915e-02, 5.99999970e-04, 1.97693748e+01, 1.42188370e-01, 4.71957475e-02
2.73671359e-01, 4.40223068e-02, 5.99999970e-04, 1.92469158e+01, 1.47220746e-01, 4.36601713e-02
2.73638606e-01, 4.30555232e-02, 5.99999970e-04, 1.92558746e+01, 1.45808667e-01, 3.99692133e-02
2.74817407e-01, 4.31453027e-02, 5.99999970e-04, 1.97217922e+01, 1.41460568e-01, 4.21960838e-02
2.74520308e-01, 4.51353863e-02, 5.99999970e-04, 1.95612831e+01, 1.44554242e-01, 5.01446836e-02
2.73688346e-01, 4.50106002e-02, 5.99999970e-04, 1.91951942e+01, 1.48231730e-01, 4.73480262e-02
2.73792326e-01, 4.60984036e-02, 5.99999970e-04, 1.91238728e+01, 1.48337007e-01, 5.14283255e-02
2.74692863e-01, 4.62740436e-02, 5.99999970e-04, 1.94894695e+01, 1.44480526e-01, 5.42978942e-02
9.53139365e-02, 5.04816398e-02, 5.99999970e-04, 1.05838432e+01, 4.36326042e-02, -1.14863798e-01
